,compound,x,Temperature,D_comp,D_but
0,butanol,100,15,0.41519647650225183,0.41519647650225183
1,butanol,100,20,0.5055035902553494,0.5055035902553494
2,butanol,100,25,0.4130607333990077,0.4130607333990077
3,butanol,100,30,0.34797861344447467,0.34797861344447467
4,butanol,100,40,0.45622969132674945,0.45622969132674945
5,dmag,0,15,0.22919274613917812,0.0
6,dmag,0,20,0.21713172421131438,0.0
7,dmag,0,25,0.25842280382408145,0.0
8,dmag,0,30,0.19372822118020006,0.0
9,dmag,0,40,0.24642465404490133,0.0
10,dmag,11,15,0.1644770881097939,0.13898144833100418
11,dmag,11,20,0.2537884534171368,0.5027311553177555
12,dmag,11,25,0.21127606194255438,0.76195206397203
13,dmag,11,30,0.11180008846407526,0.588706374521135
14,dmag,11,40,0.24118147979361626,0.6118489597952111
15,dmag,22,15,0.10168021147104356,0.3715266508914283
16,dmag,22,20,0.28321560488334513,0.46720102256998214
17,dmag,22,25,0.22286541901777038,0.26375372604160796
18,dmag,22,30,0.09167841573159376,0.38505026206295845
19,dmag,22,40,0.2408018495737785,0.34703988275020603
20,dmag,35,15,0.2007233950514663,0.27015988397350943
21,dmag,35,20,0.08177981755395411,0.45186060427485164
22,dmag,35,25,0.27922612998743396,0.18005067834545962
23,dmag,35,30,0.18095922684116567,0.3659779507605092
24,dmag,35,40,0.32642410609281275,0.42965605726526296
25,dmag,39,15,0.13276858457267277,0.10559399924587337
26,dmag,39,20,0.21041548082675118,0.3377207031870201
27,dmag,39,25,0.1985841693142307,0.2777440562790465
28,dmag,39,30,0.1937770961345563,0.4390358915712767
29,dmag,39,40,0.32591415561055875,0.5100708117259803
30,ocm,0,15,0.22849022364708052,0.0
31,ocm,0,20,0.10694286961326932,0.0
32,ocm,0,25,0.1865047618226421,0.0
33,ocm,0,30,0.07202849091589474,0.0
34,ocm,0,40,0.1270803379233033,0.0
35,ocm,12,15,0.0911503786677051,0.6627046114842454
36,ocm,12,20,0.1704090242202846,0.7113133404426245
37,ocm,12,25,0.14049683868937832,0.5581300399978797
38,ocm,12,30,0.18111481952143457,0.05569060698792565
39,ocm,12,40,0.11558941925545606,0.38933007427657335
40,ocm,22,15,0.04123513727561891,0.4977356845615067
41,ocm,22,20,0.11426695154030148,0.040713516713002926
42,ocm,22,25,0.08200450178088892,0.5704283651914978
43,ocm,22,30,0.12667851068057323,0.2800845295374488
44,ocm,22,40,0.072951338696229,0.39122110824983825
45,ocm,31,15,0.17373608171882485,0.32329955740990557
46,ocm,31,20,0.04162414303332333,0.5870870461783003
47,ocm,31,25,0.11570299354760406,0.6927555059031236
48,ocm,31,30,0.10545772614572126,0.44363996384340226
49,ocm,31,40,0.1238869766035749,0.6314027633320702
50,ocm,38,15,0.028089215380258964,0.44618786894192264
51,ocm,38,20,0.02148450600778354,0.37638966189176565
52,ocm,38,25,0.04960734627371811,0.3621354096701897
53,ocm,38,30,0.08917263103295005,0.5216680804364836
54,ocm,38,40,0.1633508545314992,0.2664004635808064
55,ocm,44,15,0.049207941939037526,0.4097475990704583
56,ocm,44,20,0.07367905369036523,0.46948260771996386
57,ocm,44,25,0.0579187108444647,0.4605886432199218
58,ocm,44,30,0.09948792227028379,0.420132465824093
59,ocm,44,40,0.14936210402854846,0.5699783536263252
